MODEL1,AREA1,MODEL2,AREA2
Morning,DOMESTIC,Morning ,EXPORT
Ray,DOMESTIC,Pride,EXPORT
Pride,DOMESTIC,K3,EXPORT
K3,DOMESTIC,K5,EXPORT
K5,DOMESTIC,Stinger,EXPORT
Stinger,DOMESTIC,K7,EXPORT
K7,DOMESTIC,K9,EXPORT
K9,DOMESTIC,Stonic,EXPORT
Stonic,DOMESTIC,Seltos,EXPORT
Seltos,DOMESTIC,Soul,EXPORT
Soul,DOMESTIC,Niro,EXPORT
Niro,DOMESTIC,Sportage,EXPORT
Sportage,DOMESTIC,Sorento,EXPORT
Sorento,DOMESTIC,Mohave,EXPORT
Mohave,DOMESTIC,New Carens,EXPORT
New Carens,DOMESTIC,Carnival,EXPORT
Carnival,DOMESTIC,Bongo,EXPORT
Bongo,DOMESTIC,Bus,EXPORT
Bus,DOMESTIC,Military,EXPORT
Military,DOMESTIC ,,
